Subject,SessionDate,SessionTime,Sex,SexNum,Age,NativeLanguage,watch_movies,enjoy_scary_movies,watch_scary_movies,TV_with_screams,know_about_movies_actors,know_video_gmes,play_action_vid_gmes,confid_about_scrms_expt,diff_making_choice_expt,reading_emotions,CambridgeBehaviourScale,Trial,SoundFile2,StimType,Duration_1,Duration_2,Sound_End_Time,ScreamerSex,CorrectAnswer,Stimulus.RESP,ACC,Stimulus.RT,Actual_Latency
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,21,DifferentVocalizer_21,2.00,916.00,1046.00,3982.00,0.00,2,2,1.00,4580,598.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,16,DifferentVocalizer_22,2.00,916.00,757.00,4117.00,0.00,2,2,1.00,4984,867.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,55,DifferentVocalizer_23,2.00,2581.00,2362.00,7251.00,0.00,2,1,0.00,8069,818.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,30,DifferentVocalizer_24,2.00,1290.00,1300.00,4623.00,0.00,2,2,1.00,6284,1661.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,2,DurationModified_1,0.00,1516.00,1006.00,5927.00,0.00,1,1,1.00,7603,1676.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,37,DurationModified_2,0.00,1024.00,536.00,4611.00,0.00,1,1,1.00,6119,1508.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,48,DurationModified_3,0.00,2756.00,1830.00,8340.00,0.00,1,1,1.00,7520,-820.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,23,DurationModified_4,0.00,839.00,973.00,4337.00,0.00,1,1,1.00,4605,268.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,56,DurationModified_5,0.00,4599.00,3951.00,10891.00,0.00,1,1,1.00,11173,282.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,27,DurationModified_6,0.00,420.00,382.00,2895.00,1.00,1,1,1.00,3761,866.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,8,DurationModified_7,0.00,2579.00,1297.00,6154.00,0.00,1,1,1.00,5972,-182.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,29,DurationModified_8,0.00,3662.00,3013.00,9210.00,0.00,1,1,1.00,9423,213.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,40,DurationModified_9,0.00,1583.00,1321.00,5504.00,0.00,1,1,1.00,5546,42.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,26,DurationModified_10,0.00,2888.00,3611.00,9173.00,1.00,1,1,1.00,10743,1570.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,18,DurationModified_11,0.00,2938.00,3324.00,8308.00,0.00,1,1,1.00,8459,151.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,59,DurationModified_12,0.00,1900.00,1279.00,5285.00,0.00,1,1,1.00,6383,1098.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,22,SameVocalizer_1,1.00,1163.00,1175.00,5347.00,1.00,1,1,1.00,6924,1577.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,60,SameVocalizer_2,1.00,950.00,1175.00,4623.00,1.00,1,1,1.00,5811,1188.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,45,SameVocalizer_3,1.00,950.00,1084.00,5338.00,1.00,1,1,1.00,5934,596.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,12,SameVocalizer_4,1.00,1163.00,1175.00,6044.00,1.00,1,1,1.00,6909,865.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,46,SameVocalizer_5,1.00,1250.00,870.00,4270.00,0.00,1,2,0.00,5570,1300.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,33,SameVocalizer_6,1.00,1305.00,1044.00,4409.00,0.00,1,1,1.00,4790,381.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,25,SameVocalizer_7,1.00,1305.00,891.00,4439.00,0.00,1,1,1.00,6471,2032.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,9,SameVocalizer_8,1.00,487.00,468.00,3307.00,1.00,1,2,0.00,4214,907.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,10,SameVocalizer_9,1.00,1818.00,1794.00,5841.00,1.00,1,2,0.00,7605,1764.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,32,SameVocalizer_10,1.00,466.00,496.00,3212.00,1.00,1,1,1.00,3600,388.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,38,SameVocalizer_11,1.00,496.00,636.00,3415.00,1.00,1,1,1.00,4840,1425.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,17,SameVocalizer_12,1.00,1752.00,2024.00,5978.00,0.00,1,2,0.00,8993,3015.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,1,SameVocalizer_13,1.00,1418.00,1326.00,5210.00,0.00,1,1,1.00,7167,1957.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,49,SameVocalizer_14,1.00,677.00,679.00,3760.00,0.00,1,1,1.00,5134,1374.00
